X,Y,item,device_id,device_id1,Desc_,UpdateDate,UpdateTime,link,Route,ImageName,VideoURL,ORG,latitude,longitude,Type,FID,VideoURL_HB,VideoURL_HD,REGION,RECORDED,COMMON_ID,FUNCTION,Column1
-10197858.1,5115206.301,,59527081,,IC - I-80 @ Coral Ridge Ave (04),20251112,120438,,I-80,IC - I-80 @ Coral Ridge Ave (04),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv04lb/playlist.m3u8,IADOT,41.693695,-91.608918,Iowa DOT,247241,,,Iowa City,Y,ICTV04,General,
-10198832.04,5163900.747,,59527089,,CR - IA 100 @ Tama St (43),20251112,120438,,IA 100,CR - IA 100 @ Tama St (43),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv43lb/playlist.m3u8,IADOT,42.019499,-91.617667,Iowa DOT,247248,,,Cedar Rapids,Y,CRTV43,General,
-10228530.3,5197004.217,,59527103,,2CB - I-380 @ MM 43 (IWZ 3172),20251112,120439,,I-380,2CB - I-380 @ MM 43 (IWZ 3172),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/iwz3172lb/playlist.m3u8,IADOT,42.240039,-91.884451,Iowa DOT,247263,,,IWZ,Y,IWZ3172,IWZ,
-10093940.36,5099986.907,,59527119,,QC - I-280 @ Kimberly Rd (22),20251112,120439,,I-280,QC - I-280 @ Kimberly Rd (22),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/qctv22lb/playlist.m3u8,IADOT,41.591525,-90.675409,Iowa DOT,247278,,,Quad Cities,Y,QCTV22,General,
-10205330.2,5157322.298,,59527133,,WWD - I-380 @ 1st Ave (13),20251112,120439,,I-380,WWD - I-380 @ 1st Ave (13),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/wwdtv013lb/playlist.m3u8,IADOT,41.975581,-91.676041,Iowa DOT,247280,,,WWD,Y,WWDTV013,WWD,
-10201200.03,5165189.767,,59527126,,CR - Collins Rd @ C Ave NE (40),20251112,120439,,Collins Rd,CR - Collins Rd @ C Ave NE (40),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv40lb/playlist.m3u8,IADOT,42.028101,-91.638939,Iowa DOT,247288,,,Cedar Rapids,Y,CRTV40,General,
-10208637.06,5151377.468,,59527141,,CR - US 30 @ 21st St SW (26),20251112,120439,,US 30,CR - US 30 @ 21st St SW (26),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv26lb/playlist.m3u8,IADOT,41.935867,-91.705747,Iowa DOT,247304,,,Cedar Rapids,Y,CRTV26,General,
-10208066.66,5169796.27,,59527143,,CR - I-380 @ Tower Terrace Rd (20),20251112,120439,,I-380,CR - I-380 @ Tower Terrace Rd (20),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv20lb/playlist.m3u8,IADOT,42.058832,-91.700623,Iowa DOT,247305,,,Cedar Rapids,Y,CRTV20,General,
-10190173.72,5114128.218,,59527147,,IC - I-80 @ Dubuque St (07),20251112,120439,,I-80,IC - I-80 @ Dubuque St (07),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv07lb/playlist.m3u8,IADOT,41.686463,-91.539888,Iowa DOT,247308,,,Iowa City,Y,ICTV07,General,
-10208067.99,5165340.379,,59527150,,WWD - IA 100 @ Edgewood Rd NE (20),20251112,120439,,IA 100,WWD - IA 100 @ Edgewood Rd NE (20),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/wwdtv020lb/playlist.m3u8,IADOT,42.029106,-91.700635,Iowa DOT,247319,,,WWD,Y,WWDTV020,WWD,
-10201562.93,5119576.972,,59527760,,IC - I-380 @ Forevergreen Rd (13),20251113,4512,,I-380,IC - I-380 @ Forevergreen Rd (13),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv13lb/playlist.m3u8,IADOT,41.723006,-91.642199,Iowa DOT,247333,,,Iowa City,Y,ICTV13,General,
-10202025.02,5115218.675,,59527761,,IC - I-80 @ Jasper Ave (35),20251113,4512,,I-80,IC - I-80 @ Jasper Ave (35),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv35lb/playlist.m3u8,IADOT,41.693778,-91.64635,Iowa DOT,247334,,,Iowa City,Y,ICTV35,General,
-10202016.78,5131150.063,,59527764,,IC - I-380 @ Hwy 965 NE (16),20251113,4512,,I-380,IC - I-380 @ Hwy 965 NE (16),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv16lb/playlist.m3u8,IADOT,41.800554,-91.646276,Iowa DOT,247337,,,Iowa City,Y,ICTV16,General,
-10214147.71,5153302.538,,59527766,,CR - US 30 @ Stoney Point Rd (23),20251113,4512,,US 30,CR - US 30 @ Stoney Point Rd (23),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv23lb/playlist.m3u8,IADOT,41.94873,-91.75525,Iowa DOT,247339,,,Cedar Rapids,Y,CRTV23,General,
-10204240.94,5115191.542,,59527769,,IC - I-80 @ Ireland Ave NW (02A),20251113,4512,,I-80,IC - I-80 @ Ireland Ave NW (02A),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv02alb/playlist.m3u8,IADOT,41.693596,-91.666256,Iowa DOT,247342,,,Iowa City,Y,ICTV02A,General,
-10208224.51,5174808.979,,59527778,,CR - I-380 SB @ MM 28.8 (21),20251113,4512,,I-380,CR - I-380 SB @ MM 28.8 (21),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv21lb/playlist.m3u8,IADOT,42.092256,-91.702041,Iowa DOT,247351,,,Cedar Rapids,Y,CRTV21,General,
-10204658.39,5150042.134,,59527781,,CR - I-380 @ US 30 South (04),20251113,4512,,I-380,CR - I-380 @ US 30 South (04),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv04lb/playlist.m3u8,IADOT,41.926943,-91.670006,Iowa DOT,247358,,,Cedar Rapids,Y,CRTV04,General,
-10204243.17,5161968.593,,59527782,,CR - I-380 @ Coldstream Ave NE (13),20251113,4512,,I-380,CR - I-380 @ Coldstream Ave NE (13),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv13lb/playlist.m3u8,IADOT,42.006603,-91.666276,Iowa DOT,247359,,,Cedar Rapids,Y,CRTV13,General,
-10206282.76,5167865.618,,59527786,,6DW - I-380 @ Boyson Rd (IWZ 3197),20251113,4512,,I-380,6DW - I-380 @ Boyson Rd (IWZ 3197),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/iwz3197lb/playlist.m3u8,IADOT,42.045954,-91.684598,Iowa DOT,247363,,,IWZ,Y,IWZ3197,IWZ,
-10204754.9,5154394.926,,59527797,,CR - I-380 @ Wilson Ave SW (07),20251113,4512,,I-380,CR - I-380 @ Wilson Ave SW (07),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv07lb/playlist.m3u8,IADOT,41.956028,-91.670873,Iowa DOT,247372,,,Cedar Rapids,Y,CRTV07,General,
-10235228.39,5114319.467,,59527199,,I-80 @ MM 223,20251112,120439,,I-80,I-80 @ MM 223,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV223lb/playlist.m3u8,IADOT,41.687746,-91.944621,Iowa DOT,247375,,,I-80,Y,80TV223,General,
-10203984.46,5158524.019,,59527243,,CR - I-380 @ 8th St NE (11),20251112,120439,,I-380,CR - I-380 @ 8th St NE (11),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv11lb/playlist.m3u8,IADOT,41.983606,-91.663952,Iowa DOT,247378,,,Cedar Rapids,Y,CRTV11,General,
